epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,39540.5,0.48596,1.62831,0.79609,0.47482,0.37674,0.40467,0.38141,0.39395,1.29957,0.78066,0.005512,0.005512,0.005512
138,39829.8,0.49044,1.61395,0.79661,0.47779,0.37635,0.40404,0.38021,0.39525,1.3041,0.78081,0.005479,0.005479,0.005479
139,40119.1,0.48347,1.60954,0.79718,0.471,0.37749,0.40628,0.38294,0.39418,1.30561,0.78058,0.005446,0.005446,0.005446
140,40408.6,0.48515,1.61832,0.79717,0.47252,0.38452,0.40909,0.38521,0.39563,1.28869,0.78069,0.005413,0.005413,0.005413
141,40698.2,0.48482,1.60196,0.79686,0.47995,0.37889,0.40853,0.38496,0.39395,1.29258,0.78061,0.00538,0.00538,0.00538
142,40986.5,0.48118,1.61942,0.79708,0.47281,0.38478,0.41135,0.3877,0.39294,1.29007,0.78039,0.005347,0.005347,0.005347
143,41276,0.4847,1.61308,0.79636,0.47908,0.38121,0.41232,0.38827,0.39408,1.2916,0.78052,0.005314,0.005314,0.005314
144,41565.5,0.48546,1.61762,0.79611,0.47652,0.38563,0.41276,0.38878,0.39392,1.28675,0.7806,0.005281,0.005281,0.005281
145,41854.6,0.48595,1.62224,0.79661,0.4865,0.38321,0.41473,0.39098,0.39268,1.28849,0.78044,0.005248,0.005248,0.005248
146,42143.5,0.48245,1.59828,0.79731,0.47288,0.38516,0.41263,0.38872,0.39347,1.28623,0.78037,0.005215,0.005215,0.005215
147,42432.2,0.48401,1.59082,0.79756,0.48214,0.38838,0.41602,0.39182,0.3938,1.2818,0.78047,0.005182,0.005182,0.005182
148,42720.5,0.4828,1.59719,0.79617,0.47248,0.38773,0.41347,0.38961,0.39406,1.28522,0.78043,0.005149,0.005149,0.005149
149,43008.7,0.48109,1.59031,0.79636,0.47774,0.38979,0.41694,0.39275,0.39411,1.27529,0.78045,0.005116,0.005116,0.005116
